source,section,text
ics_faq,ics_faq_block_15,"Remedial Classes are meant to clarify the basic concepts. It is possible that all intricacies and details as taught by the professor are not taught. However the underlying concepts are fully covered in a much simpler manner, on the basis of which further study can be done."
ics_faq,ics_faq_block_16,"No, the remedial class are just a help provided when there is difficulty in grasping the concepts in college lectures. They may not cover the entire syllabus(only the difficult parts) and are sometimes not as regular as college lectures."
ics_faq,ics_faq_block_17,"Anytime, when the mentor is free. It depends on mutual understanding between the mentor and student. The mentor can be contacted via phone or other means, and unless he is in the middle of something very important, he is willing to help out."
ics_faq,ics_faq_block_18,"Not at all! It is always possible to miss out on certain concepts while in class or during self study and the academic load may make us all feel pressurized at times. Therefore, asking for help doesn't undermine your intelligence or your capabilities, but only demonstrates your willingness to learn."
ics_faq,ics_faq_block_19,Students of only UG and M.Sc. programs can apply for scholarships. Other programs are not eligible for scholarships.
ics_faq,ics_faq_block_20,Students who are unable to get financial support from the institute or from any other source.
ics_faq,ics_faq_block_21,"Students can apply for SBF by filling an online form which is circulated by the Institute Counselling Service around mid-September. Whenever the form link is active, a mail is sent to the students' mailing list."
ics_faq,ics_faq_block_22,"You can get Merit-cum-Means scholarship, Sports scholarship, various Donor Departmental scholarships, and Basic Mess & Pocket Allowance."
ics_events,ics_events_block_1,"Quoting our alumni, Orientation is one of the best memories of IITK."" The Institute Counselling Service conducted a 11-day long Orientation for the new Freshers batch to help them get acclimatized to campus and bond with their batchmates. It is the largest College Orientation programme in the nation. Students are introduced to Academic Structure, Administrative Structure, Students' Gymkhana, Clubs & Societies and the various opportunities IITK has for its students. Orientation also contains games, wing activities, interactive sessions and a campus tour with the aim to nurture the newly formed bonds among the students. Memories made here stay forever."
ics_events,ics_events_block_2,"World Suicide Prevention Day is an awareness day observed on 10 September every year to provide worldwide commitment and action to prevent suicide with various activities worldwide since 2003. IIT Kanpur also organises events every year to raise awareness that suicide is preventable and to decrease stigma regarding suicide. This year the Institute Counselling Service conducted a seminar, which included a talk by the renowned psychiatrist of Kanpur, Dr Kalim Ahmed."
ics_events,ics_events_block_3,"On the occasion of mental health day, the Institute Counselling Service conducted various inspiring events to bring attention to Mental health wellness. A Mental health awareness talk was organised to have an open interaction of the campus community with the counsellors to share their thoughts and learn about the importance of mental health in a person's life. There were many fun activities for the audience to have fun while learning to take care of their mental health. The session was followed by a movie screening of ""The Perks of Being a Wallflower"", which portrays the life of a teenager & his struggles with his post-traumatic stress disorder as he goes through his journey in high school."
ics_events,ics_events_block_4,"Every year on Diwali, we organize 'Hakuna Matata'. Since many students celebrate Diwali away from home, we take the initiative of making students feel at ""Home away from Home"" by conducting various fun-filled activities to engage the students in positive gainful activities and let off steam under Hakuna Matata. This year, the celebration included a Rangoli Competition in collaboration with the Fine Arts Club. Following this, the day ended with students flying Sky Lanterns and decorating the ground with Diyas marking the Festival of lights."
ics_events,ics_events_block_5,"Academic Remedial classes, otherwise known as AM Classes, are sessions organised to cover the syllabus of the first year courses and to gear up the students for upcoming exams. These classes are meant to clear any doubts, solve questions and cover the course content concisely and clearly from an exam point of view. These sessions are headed by Academic Mentors who also prepare short notes and discuss questions keeping in mind the past year's question trends."
ics_events,ics_events_block_6,"A 5km Run and Walk event with the theme ""Run and Walk for a Cause"" was also held for the campus community to spirit up the mental health day and bring the attention of the importance of mental health. The Marathon started at OAT and continued all through the Campus. Goodies, along with energy drinks, were also distributed to the participants."
ics_new_ug,ics_new_ug_block_1,"Undergraduate students of the Y25 batch are required to report in person to the institute on July 21st, 2025 (Reporting Day) between 7:00 am and 8:00 pm. Accommodation in the hostels (Halls of Residence) will be provided on the same day upon arrival and reporting."
ics_new_ug,ics_new_ug_block_2,"On 21st JULY(Reporting Day) , Boys have to report at HALL 13, and Girls have to report at HALL 4 , respectively."
ics_new_ug,ics_new_ug_block_3,"The detailed schedule for the Orientation Programme, Academic registration, and related activities, for Y25 Batch , will be published and shared closer to the reporting date."
ics_new_ug,ics_new_ug_block_4,"The commencement of regular classes for the Y25 batch is set for July 31st,2025."
ics_new_ug,ics_new_ug_block_5,"Parents/Guardians are welcome to accompany the students; however, please note that we do not provide or arrange accommodation for the Parents/Guardians. They are welcome to spend time with their wards in the halls from 7:00 am to 8:00 pm and may have breakfast/meals in the mess of the halls on a payment basis. We kindly ask that Parents/Guardians to leave the halls by 8:00 pm."
ics_new_ug,ics_new_ug_block_6,"We sincerely invite Parents/Guardians to the Parents' Orientation Program, to be held on July 22nd, from 2:30 pm to 6:30 pm. More details on the Parents' Orientation Program will be updated soon."
ics_new_ug,ics_new_ug_block_7,"Please join the IIT Kanpur Y25 Discussion Forum Facebook page , Whatsapp Link for UG(Y25) Fresher's Forum and follow us on Instagram"
ics_new_ug,ics_new_ug_block_8,Please do visit the FAQ section for further queries.
ics_new_ug,ics_new_ug_block_9,"Note: If there exists any mismatch in the student's name among documents, an affidavit sanctioned by a notary will be necessary"
ics_new_ug,ics_new_ug_block_10,"Banks at IIT Kanpur State Bank of India, IIT Kanpur The Link to instructions PPT provided by the bank is attached: here . For any query, you can contact the bank directly at: Roopesh Singh Gangwar (Chief Manager) 9554959914, Tarannum Siddiqui (Dy. Branch Manager) 7985590769, 9580939478 Ran Vijay Singh (Customer Relationship Officer) 9580939478 : sbi.01161@sbi.co.in Forms for Minor and Loan can be submitted to the email mentioned above. Union Bank of India, IIT Kanpur The Link to instructions PPT provided by the bank is attached: here . For any query, you can contact the bank directly at: Sujeet Kanaujiya (Loan officer) : 7400333250 Milind Gautam (Marketing Manager) : 9326527331 Saurabh Srivastava (Branch Head) : 9023422545 : ubin0553727@unionbankofindia.bank ICICI Bank, IIT Kanpur For any query, you can contact the bank directly at: Mr.Risabh Pal : 7618088778 Mr. Faizan Ahmad : 6350326078 Mr. Ayush Bhatia : 9695175775 Mr.Varun Mishra : 6387353748 Ms. Priyanka Singh : 9137126443 Ms. Montenna Hazarika : 9552386432 Ms. Priyanka Vishnoi : 7380950145 Mr. Gaurav Varma : 9935069361 Documents required for a Loan List of documents required for the Student PAN Card Aadhar Card JoSAA Seat Acceptance Letter 2 Photographs Admission letter/Offer letter Schedule of expenses/Fee structure Copy of marksheets (High school onwards) [Optional] Identity Card and Hall residence certificate List of documents required for the Guardian PAN Card Aadhar Card 2 Photographs Any one of the following : 3 years ITR and Registration certificate (Businessman) OR 3 months salary slips and Form 16 (2 Years) (Salaried) OR Income Certificate"
ics_new_ug,ics_new_ug_block_11,"The Link to instructions PPT provided by the bank is attached: here . For any query, you can contact the bank directly at: Roopesh Singh Gangwar (Chief Manager) 9554959914, Tarannum Siddiqui (Dy. Branch Manager) 7985590769, 9580939478 Ran Vijay Singh (Customer Relationship Officer) 9580939478 : sbi.01161@sbi.co.in Forms for Minor and Loan can be submitted to the email mentioned above. Union Bank of India, IIT Kanpur The Link to instructions PPT provided by the bank is attached: here . For any query, you can contact the bank directly at: Sujeet Kanaujiya (Loan officer) : 7400333250 Milind Gautam (Marketing Manager) : 9326527331 Saurabh Srivastava (Branch Head) : 9023422545 : ubin0553727@unionbankofindia.bank ICICI Bank, IIT Kanpur For any query, you can contact the bank directly at: Mr.Risabh Pal : 7618088778 Mr. Faizan Ahmad : 6350326078 Mr. Ayush Bhatia : 9695175775 Mr.Varun Mishra : 6387353748 Ms. Priyanka Singh : 9137126443 Ms. Montenna Hazarika : 9552386432 Ms. Priyanka Vishnoi : 7380950145 Mr. Gaurav Varma : 9935069361 Documents required for a Loan List of documents required for the Student PAN Card Aadhar Card JoSAA Seat Acceptance Letter 2 Photographs Admission letter/Offer letter Schedule of expenses/Fee structure Copy of marksheets (High school onwards) [Optional] Identity Card and Hall residence certificate List of documents required for the Guardian PAN Card Aadhar Card 2 Photographs Any one of the following : 3 years ITR and Registration certificate (Businessman) OR 3 months salary slips and Form 16 (2 Years) (Salaried) OR Income Certificate"
ics_new_ug,ics_new_ug_block_12,Forms for Minor and Loan can be submitted to the email mentioned above.
ics_new_ug,ics_new_ug_block_13,"The Link to instructions PPT provided by the bank is attached: here . For any query, you can contact the bank directly at: Sujeet Kanaujiya (Loan officer) : 7400333250 Milind Gautam (Marketing Manager) : 9326527331 Saurabh Srivastava (Branch Head) : 9023422545 : ubin0553727@unionbankofindia.bank ICICI Bank, IIT Kanpur For any query, you can contact the bank directly at: Mr.Risabh Pal : 7618088778 Mr. Faizan Ahmad : 6350326078 Mr. Ayush Bhatia : 9695175775 Mr.Varun Mishra : 6387353748 Ms. Priyanka Singh : 9137126443 Ms. Montenna Hazarika : 9552386432 Ms. Priyanka Vishnoi : 7380950145 Mr. Gaurav Varma : 9935069361 Documents required for a Loan List of documents required for the Student PAN Card Aadhar Card JoSAA Seat Acceptance Letter 2 Photographs Admission letter/Offer letter Schedule of expenses/Fee structure Copy of marksheets (High school onwards) [Optional] Identity Card and Hall residence certificate List of documents required for the Guardian PAN Card Aadhar Card 2 Photographs Any one of the following : 3 years ITR and Registration certificate (Businessman) OR 3 months salary slips and Form 16 (2 Years) (Salaried) OR Income Certificate"
ics_new_ug,ics_new_ug_block_14,"For any query, you can contact the bank directly at: Mr.Risabh Pal : 7618088778 Mr. Faizan Ahmad : 6350326078 Mr. Ayush Bhatia : 9695175775 Mr.Varun Mishra : 6387353748 Ms. Priyanka Singh : 9137126443 Ms. Montenna Hazarika : 9552386432 Ms. Priyanka Vishnoi : 7380950145 Mr. Gaurav Varma : 9935069361 Documents required for a Loan List of documents required for the Student PAN Card Aadhar Card JoSAA Seat Acceptance Letter 2 Photographs Admission letter/Offer letter Schedule of expenses/Fee structure Copy of marksheets (High school onwards) [Optional] Identity Card and Hall residence certificate List of documents required for the Guardian PAN Card Aadhar Card 2 Photographs Any one of the following : 3 years ITR and Registration certificate (Businessman) OR 3 months salary slips and Form 16 (2 Years) (Salaried) OR Income Certificate"
ics_new_ug,ics_new_ug_block_15,"The most popular air route to IIT Kanpur is through Lucknow Airport (IATA: LKO | ICAO: VILK). Lucknow is connected by direct flights to and from major cities like Delhi, Mumbai, Kolkata and Bengaluru Note: Kanpur airport (Chakeri) is now open to civillian purpose. The Airport is located around 21 Km from IITK and cabs are available to and fro."
ics_new_ug,ics_new_ug_block_16,"Kanpur is connected to NH-2 that runs between Amritsar and Kolkata and connecting cities like Delhi, Agra, Allahabad, Patna. Kanpur is also connected to Lucknow on NH25 and is about 91 km from Lucknow. Cabs are available from Lucknow to reach IIT Kanpur."
ics_new_ug,ics_new_ug_block_17,"Kanpur is well connected by railway network with nearly every major city. Numerous overnight trains are also present from major cities like New Delhi, Mumbai, Bangalore. IIT Kanpur is about 17 km from the Kanpur Central Railway Station. Direct buses to campus front gate are there from Jhakarkati. Tempos and Autos are also available which take about Rs. 200 - Rs. 250 from Station to IITK campus. One can also find shared auto services (commonly known as Vikram) for as low as 40 Rupees from Kanpur Railway Station, outside Platform 9 to campus front gate. Metro serivces are also avalible from Kanpur Central Metro Station to IIT Kanpur Metro Station from 6am to 10pm daily."
ics_new_ug,ics_new_ug_block_18,Please note that the institute does not provide accomodation to parents. Parents are suggested to arrange for their own accomodation. The list of hotels at Kanpur can be found here. [Hotels]
ics_new_ug,ics_new_ug_block_19,It is mandatory for all registered students of IIT Kanpur to reside in the halls of residence assigned to them. The halls assigned to the first year boys students is Hall 13 . Hall 4 is the hall of residence assigned to the first year girl students.
ics_new_ug,ics_new_ug_block_20,The rooms and roommates in the halls are also assigned randomly to the students by the institute keeping in mind various factors. It is not possible to entertain a request for room/roommate change. It is also compulsory for a student to register in his/her Hall of Residence's mess.
ics_new_ug,ics_new_ug_block_21,The Orientation Programme is organised to acquaint the students with the institute and to facilitate a smooth transition into life at the Institute. The prospect of beginning life at a college can be daunting. You must be incredibly excited to come to the campus but at the same time you may also feel nervous and unsure about what to expect. Everyone has such mixed emotions and the Orientation program is designed to make your transition to IITK as seamless as possible.
ics_new_ug,ics_new_ug_block_22,The orientation schedule of 2025-26 will soon be updated here.
ics_new_ug,ics_new_ug_block_23,"Q. When do I have to report to IITK? Can I report late? Also, can I go back after reporting and come back before classes commence?"
ics_new_ug,ics_new_ug_block_24,"Ans. The Reporting date for the new UG students will be updated soon. You have to report to your allotted hall in IITK. The Hall Allotment list will be up on website before arrival. NO, you cannot report late. You have to report in IITK only on the aforementioned time and date. If you are reporting late then you should inform the counselling service with a valid reason. NO, you cannot go home after reporting.There are a lot of activities scheduled before the classes commences."
ics_new_ug,ics_new_ug_block_25,Q. How can I reach IITK? Is there any special provision for the students to reach there?
ics_new_ug,ics_new_ug_block_26,"Ans. AIR Route: Kanpur airport is now functional. Direct flights are available between Kanpur(KNU) and Delhi(DEL), Bengaluru(BLR), and Mumbai(BOM). Nearest airport is Lucknow: You may catch a taxi from airport (easily available for IITK),it ll be a 2-3 hours journey costing about Rs 1400-1800. Train Route : IITK is a 45 minutes journey from Kanpur Central Railway Station. You can traverse the route either by Auto-Rickshaws which are easily available, by Institute buses depending on the timing, or by hiring cabs. Also,there would be a help desk of Counselling Service, IIT Kanpur arranged at Kanpur station. You can contact them for institute buses or for hiring autos and cabs. Additionally, look at the Reaching IITK section on the website."
ics_new_ug,ics_new_ug_block_27,Q. What documents do I have to bring to IITK before leaving home?
ics_new_ug,ics_new_ug_block_28,"Ans. A checklist of all documents is provided Document Checklist Section in ""NEW UNDERGRADUATE IMPORTANT INFORMATION"""
ics_new_ug,ics_new_ug_block_29,Q. Do I have to bring something for day to day living purposes?
ics_new_ug,ics_new_ug_block_30,"Ans. You may bring items for day to day living purposes, but almost everything is available to purchase in the campus including mattresses, buckets, locks. Also, Online delivery systems can be used to deliver stuff till your hall gate. So there's no need to worry about availiblity to things. Please click here to get the list of items you may need."
ics_new_ug,ics_new_ug_block_31,Q. What is Orientation Programme? Is it compulsory to attend it?
ics_new_ug,ics_new_ug_block_32,"Ans. The Orientation Program is designed to acquaint the Freshers with the Campus, and the various activities in it. It is a comprehensive introduction to your life for the whole stay at the campus. Yes, The Orientation Programme is compulsory to attend."
ics_new_ug,ics_new_ug_block_33,Q. What is the medium of instruction in IITK?
ics_new_ug,ics_new_ug_block_34,"Ans. English is the medium of all official instruction (lectures, labs, assignments and exams). For students who might be uncomfortable with English, the institute offers a basic course in the english language which is taught in the first semester. Also, English Conversation Classes are organised to help the students in English language."
ics_new_ug,ics_new_ug_block_35,Q. How is the general lecture environment? Can I ask a doubt to a professor?
ics_new_ug,ics_new_ug_block_36,"Ans. The general lecture environment varies from professor to professor, but asking doubts during lectures is always allowed. However, tutorials are better places for clearing doubts as they have a much higher level of personal interaction."
ics_new_ug,ics_new_ug_block_37,"Q. Are there any scholarships available? If yes, how can I get them?"
ics_new_ug,ics_new_ug_block_38,"Ans. There are ample number of scholarships available.You will get to know about these and how to apply for them after you reach here.For any of these, Parental Income proof is must. Please go through the SSPC Website and Under-Graduate section under the important info tab on this website for further details."
ics_new_ug,ics_new_ug_block_39,"Ans. Yes, you can change your branch at the end of 2nd, 3rd or 4th semester, but only once in total. No programme related restrictions are present, i.e. change from a BS program to BTech, Btech to BS, BS to BS or BTech to BTech, all are allowed."
ics_new_ug,ics_new_ug_block_40,Q. On what basis my branch can get changed?
ics_new_ug,ics_new_ug_block_41,Ans. Please go to the Under-Graduate section under the Important Info tab on this website.
ics_new_ug,ics_new_ug_block_42,"Ans. Halls of residences are the hostels where you will be residing during your stay at IIT Kanpur. There are five halls for boy UG students (Hall of Residence: 2, 3, 5, 12 and 13) and two for girl UG students (Hall of Residence: 4 and 6). UG first year students will stay in Hall 13 (boys) and Hall 4 (girls)."
ics_new_ug,ics_new_ug_block_43,Q. What are the facilities available at Halls of Residence?
ics_new_ug,ics_new_ug_block_44,"Ans. Each hall has its mess, canteen, photocopying facility, and a shop for basic daily needs, other than the rooms. They also have their own Reading Room, Computer Centre, which is open 24*7. Every hall have their own sports equipments with some sports fields available 24*7. Every hall has its Basketball Court, Badminton Court and Table Tennis room."
ics_new_ug,ics_new_ug_block_45,"Q. When will I be assigned my hall and room? Can I select my room, hall and room partner?"
ics_new_ug,ics_new_ug_block_46,Ans. Refer to the hall allocation part in the left sidebar
ics_new_ug,ics_new_ug_block_47,Q. How many students I have to share my room with?
ics_new_ug,ics_new_ug_block_48,Ans. You will have to share your room with one or two more people.
ics_new_ug,ics_new_ug_block_49,Q. What items will be available to me in my room?
ics_new_ug,ics_new_ug_block_50,"Ans. In Hall 4, your rooms will have two beds, one mirror, two almirahs, chairs, tables, and a rack In Hall 13(double room), a room has 2 beds, 1 almirah with a mirror, 1 table, 1 chair, 1 bed-table and 1 notice board. In Hall 13(triple room), a room has 3 beds, 2 almirah with two mirrors, 2 tables, 2 chairs, 1 bed-table and 2 notice boards."
ics_new_ug,ics_new_ug_block_51,Q. What are inter-hall competitions? Can I participate?
ics_new_ug,ics_new_ug_block_52,"Ans. To encourage participation in extracurricular activities, various inter-hall competitions are organized. Each hall is a part of a pool. There are four pools. Following are the interhall events- Freshers Inferno - Games & Sports (open for both UG & PG Freshers ) Takneek - Science & Technology Galaxy - Media & Cultural Inferno - Games & Sports All the events are open for freshers. At the end of the academic year the performances of each pool in all competitions are combined to give the ranking for the General Championship."
ics_new_ug,ics_new_ug_block_53,Ans. Freshers are enscouraged to bring their laptops to college if they already have one. The main Computer Centre and the computer lab at New Core Labs are open till 2 am in the night and are good enough for all practical purposes.
ics_new_ug,ics_new_ug_block_54,Q. What are the facilities available in the campus area?
ics_new_ug,ics_new_ug_block_55,"Ans. There is a shopping center, commonly known as ShopC, in the campus for general items and commodities. It has a campus restaurant, Stationery shops, barber shop, cycle repairing shop, bakery shops, laundry shop and general stores. The bank facilities are available within the campus. There are SBI and UBI bank branches available in the campus. Campus also have a automated ICICI branch. SBI, UBI and ICICI ATMs are also available in the campus. DOAA Canteen is functional 24*7. There is a Food Court in the campus area in SAC (Student Activity Corner) which are available from 2pm to 2 am. It has Dominos, Kathi Rolls, Chocolate Room, Wazwan food outlets. There is also a subsidized Cafe Coffee Day outlet. And not to forget a chaat corner in front of hall 3. There's a canteen available in every hall available from 2pm to 2 am."
ics_new_ug,ics_new_ug_block_56,Q. What books and other class material do I have to bring?
ics_new_ug,ics_new_ug_block_57,"Ans. Practically none. There is no course-related book that you have to bring. The course books can be taken from seniors or issued from the library. Also, the reference section of the library is equipped with sufficient copies of the course books, so one can easily use them there, if in case you feel the need to buy one, then there are bookshops in the shopping center inside the campus. The general books used in the first year are Thomas Calculus, D J Griffiths Electrodynamics,Mechanics by Kleppner, any C Programming Language Book. Also Chemistry Labcoat and Mini Drafter for Engineering Drawing Lab are also required in first year courses. If you already have above mentioned items you can bring these with you otherwise do not buy them you can take it here from the seniors or shops."
ics_new_ug,ics_new_ug_block_58,Q. What about Ragging practices in the hostels?
ics_new_ug,ics_new_ug_block_59,Ans. We are a Ragging Free campus. Strict actions are taken against those indulge in ragging. Every student signs an anti ragging affidavit. Anti-Ragging Squads are also made to check its practise anywhere.
ics_new_ug,ics_new_ug_block_60,"Ans. No, parents will not be provided any accommodation in the campus. A list of hotels in Kanpur is provided in this pdf : [Hotels]"
ics_new_ug,ics_new_ug_block_61,Q. How big is the campus ? How to travel inside the campus ?
ics_new_ug,ics_new_ug_block_62,"Ans. IITK has a humongous campus size of 1055 acres. Students are not allowed to drive motorized vehicles. IITK being an environment friendly campus, everyone travels by bicycles. Many professors prefer riding cycles as well. Other means of transport are cycle rickshaws, which are usually available throughout the day. Motorized rickshaws or tempos may also be available sometimes on campus. Differently abled students shall be provided with hybrid scooters or tricycles."
ics_new_ug,ics_new_ug_block_63,Q. Is laundry service available to the students?
ics_new_ug,ics_new_ug_block_64,"Ans. Yes, there is laundry service available to the students. The laundry serviceman shall visit your room twice a week. The basic monthly cost shall be around Rs.200. All the halls have Washing Machines installed."
ics_new_ug,ics_new_ug_block_65,Q. Is there any Internet connectivity for the freshers ?
ics_new_ug,ics_new_ug_block_66,Ans. The freshers have full freedom to use wi-fi services in the academic area. The computer centres in halls provide internet connectivity 24/7. The computer centres in the academic area are open till 2am.
ics_new_ug,ics_new_ug_block_67,Q. What is the fee structure ? What are the modes of payment available for the Institute fees as well as the mess fee ?
ics_new_ug,ics_new_ug_block_68,Ans. Fee structure is decided by DOSA(Dean of Student Affairs) Office.It keeps on changing subject to various conditons. Modes of payment are- DEMAND DRAFT or ONLINE via SBI I-Collect/AXIS bank /ICICI bank gateway.
ics_new_ug,ics_new_ug_block_69,Q. How many semesters are there in an year ? How are the semesters divided over the year ?
ics_new_ug,ics_new_ug_block_70,"Ans. >2 semesters are held per year. The first semester commences at the end of july and ends in the month of november, then a one month break in december. The next semester commences by the end of december and ends by the month of april."
ics_new_ug,ics_new_ug_block_71,Q. Is there any Hospital on the campus ? What facilities are available over there ?
ics_new_ug,ics_new_ug_block_72,"Ans. IITK has its own Health Center (HC).HC has four ambulances. It takes care about all the basic health related issues as well as emergency conditions. Also,there are dispensaries available in some specific halls."
ics_new_ug,ics_new_ug_block_73,Q. Where can I get the leave calendar for the year ?
ics_new_ug,ics_new_ug_block_74,Ans. Every detail is available on the academic calendar including midsem breaks and holidays. It will be provided soon.
ics_new_ug,ics_new_ug_block_75,Q. Are there any facilities available for the physically handicapped on the campus ?
ics_new_ug,ics_new_ug_block_76,"Ans. Yes, differently abled students shall be allowed hybrid scooters or tricycles. There are ramps available wherever necessary to make life easier for them."
ics_new_ug,ics_new_ug_block_77,"Unoffical Facebook group that celebrates the people, life and culture of IIT Kanpur This Bit of That IITK"
ics_new_ug,ics_new_ug_block_78,"We would like to inform all old students and new students taking admission for the upcoming academic session that the fee structure has been updated by DoSA. For detailed information, please refer to the following documents"
ics_new_pg,ics_new_pg_block_1,PG students of the Y25 batch are required to report in-person to the institute on 24th of July 2025 (Reporting Day) between 9 am and 6 pm.
ics_new_pg,ics_new_pg_block_2,Reporting venue will be updated closer to the dates of reporting.
ics_new_pg,ics_new_pg_block_3,Accommodation in the Hall of Residences (Hostels) will be allocated to students on reporting.
ics_new_pg,ics_new_pg_block_4,"Parents or guardians are welcome to accompany the students; however, please note that we do not provide or arrange accommodation for them. They are welcome to spend time with their wards in the halls from 8:00 am to 8:00 pm and may have meals in the mess on a payment basis. We kindly ask that parents leave the halls by 8:00 pm."
ics_new_pg,ics_new_pg_block_5,Refer this document on Implementation of Students Medical Health Insurance.
ics_new_pg,ics_new_pg_block_6,"If a PG student does not want to avail the hostel facility of IITK, they can apply to be a day scholar. More details are on the 'Hall Allocation' tab."
ics_new_pg,ics_new_pg_block_7,"Kanpur experiences rainy weather in july and august, please check the weather forecast; plan your trip and attire accordingly. Formal attire at IIT Kanpur is not essential, and it is advisable to carry enough clothes."
ics_new_pg,ics_new_pg_block_8,"The hostel rooms will be equipped with only basic furniture, including cots, chairs, tables, and cupboards. However, mattresses, pillows, blankets, and other materials will not be provided. The campus has two shopping complexes and food courts, and all halls have their own stationary, photocopy, and other related shops. You can buy materials, if you want to travel light, from these shops, including bicycles, with reasonable prices. Toilets are equipped with geysers, and there are several washing machines available for use in each hall."
ics_new_pg,ics_new_pg_block_9,"IIT Kanpur have canteens and messes. Students can eat there from 24th July. Parents can use these on a payment basis. IIT Kanpur also has a Health Center and a pharmacy, both of which are open and in service 24/7."
ics_new_pg,ics_new_pg_block_10,"After in-person reporting, students are required to stay in the halls or on campus and are not allowed to leave. They must spend the nights only in their allocated halls. This instruction is part of the institute's office order and is strictly enforced. Parents are allowed to spend time with the students in their rooms, irrespective of gender, from 8:00 am to 8:00 pm. All parents and guardians must leave the hall premises by 8:00 pm and the campus by 10:00 pm. Cars, including Ola and Uber, can enter the campus with a valid registration number and license."
ics_new_pg,ics_new_pg_block_11,"The campus has several banks, including the branches SBI, ICICI, UBI, and HDFC For more information, you can contact the SBI and ICICI managers at IIT Kanpur via email at sbi.01161@sbi.co.in and gaurav.varma@icicibank.com, respectively. Additional information on the banks is available on the Institute Counselling Service Website. Finally, have a safe trip. We are excited to welcome you to IIT Kanpur, the home for you for the next few years."
ics_new_pg,ics_new_pg_block_12,"All Y25 students need to register on the anti-ragging portal at its official website . The reference ID generated after registration is extremely important and must be noted down, as it is required for further stages.[ Instructions ]"
ics_new_pg,ics_new_pg_block_13,"In-person reporting dates for all Y25 PG (M.Tech, MSR, PhD, MDes, MSc Dual Degree etc.) students are 24/7/2025, and the timing of reporting is between 9AM and 6PM at IIT Kanpur."
ics_new_pg,ics_new_pg_block_14,"The most popular air route to IIT Kanpur is through Lucknow Airport (IATA: LKO | ICAO: VILK). Lucknow is connected by direct flights to and from major cities like Delhi, Mumbai, Kolkata and Bengaluru Note: Kanpur airport (Chakeri) is now open to civillian purpose. The Airport is located around 21 Km from IITK and cabs are available to and fro."
ics_new_pg,ics_new_pg_block_15,"Kanpur is connected to NH-2 that runs between Amritsar and Kolkata and connecting cities like Delhi, Agra, Allahabad, Patna. Kanpur is also connected to Lucknow on NH25 and is about 91 km from Lucknow. Cabs are available from Lucknow to reach IIT Kanpur."
